,P_NAME,P_RADIUS,P_MASS,P_ESCAPE,P_TEMP_SURF
224,Kepler-1026 b,2.20837,5.5302073,1.5824674,453.64631
227,Kepler-176 e,1.44609,2.6983597,1.3660049,456.5859
228,Kepler-504 b,1.59182,3.1560321,1.4080683,456.67208
229,Kepler-925 b,2.34289,6.0705149,1.6096699,456.80633
230,K2-318 b,1.65908,3.4007596,1.4317075,457.0477
231,Kepler-1697 b,1.25552,2.1230911,1.3003866,457.70838
232,Kepler-1716 b,2.42136,6.4519085,1.6323543,458.95802
233,Kepler-333 c,1.10979,1.4111563,1.1276314,458.99065
234,Kepler-331 d,1.63666,3.337194,1.427945,459.48587
235,GJ 273 c,1.05374,1.1791419,1.057831,460.50053
236,Kepler-306 e,2.27563,5.7844697,1.59434,461.00729
237,K2-18 c,2.64556,7.5102757,1.6848806,461.5913
238,Kepler-186 d,1.40125,2.542624,1.3470486,463.86884
239,Kepler-383 c,1.24431,2.0690603,1.2895028,464.20145
240,Kepler-327 d,1.72634,3.655022,1.4550631,464.35429
241,Kepler-55 b,2.43257,42.90678,4.1998163,464.63597
242,K2-136 d,1.44609,2.6983597,1.3660049,465.8044
243,Kepler-158 c,1.9057,4.2588952,1.4949312,468.15771
244,Kepler-196 c,2.242,5.6573385,1.5885039,468.39807
245,K2-17 b,2.23079,5.5937729,1.5835182,468.87827
246,Kepler-446 c,1.121,1.4111563,1.1219791,468.89705
247,Kepler-231 c,1.92812,24.154928,3.5394505,469.37321
248,K2-149 b,1.63666,3.337194,1.427945,469.82019
249,Kepler-1499 b,1.18826,1.8116196,1.2347464,470.06136
250,K2-381 d,1.69271,3.496108,1.4371468,471.22443
251,Kepler-121 c,2.27563,5.7844697,1.59434,471.24184
252,Kepler-973 b,1.96175,4.5131576,1.5167654,471.31032
253,G 9-40 b,2.02901,4.76742,1.5328498,471.5094
254,Wolf 1061 b,1.21068,1.9101463,1.2560838,471.61831
255,Kepler-332 d,1.17705,1.7575889,1.2219718,472.86788
256,Kepler-138 c,1.19947,1.9705336,1.281732,473.04596
257,Kepler-260 c,1.73755,3.6868048,1.456654,473.58908
258,Kepler-568 b,2.26442,5.7209041,1.5894755,474.8544
259,Kepler-205 c,1.63666,3.337194,1.427945,475.10632
260,Kepler-1599 b,1.62545,3.2418456,1.4122428,475.95083
261,Kepler-1817 b,2.27563,5.7844697,1.59434,477.11347
262,K2-315 b,0.95285,0.80728313,0.92045099,477.39984
263,Kepler-988 b,2.07385,4.926334,1.5412506,478.08581
264,Kepler-54 c,1.2331,19.705336,3.9975396,478.35075
265,Kepler-1461 b,2.02901,4.76742,1.5328498,479.27928
266,Kepler-1918 b,2.29805,5.8798181,1.5995662,479.65176
267,Kepler-215 e,1.74876,3.7185876,1.4582229,480.0162
268,K2-367 b,2.41015,6.4201257,1.6321111,480.07381
269,EPIC 212499991 b,1.60303,3.17828,1.4080733,480.37396
270,Kepler-81 d,1.21068,1.9260377,1.261298,482.07625
271,HD 238090 b,2.52225,6.8905111,1.6528432,482.23527
272,Kepler-220 d,0.97527,0.90263153,0.96203931,482.92192
273,GJ 887 b,1.88328,4.1985079,1.4931039,483.29941
274,Kepler-378 c,0.69502,0.2701538,0.62345755,484.35822
