P_NAME,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_LOG_LUM,S_LOG_LUM_ERROR_MIN,S_LOG_LUM_ERROR_MAX,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
Kepler-682 b,42.588952,,,7.37618,-0.50445,0.77349,2016,2016-05,12.611907,-6.46E-06,6.46E-06,0.1058,,,0,,,88.17,,,,,,,,,0.5409,-0.0939,0.064,Transit,M-R relationship,Kepler-682,289.11222,51.737359,15.556,1979.25,-95,104.85,-0.05,-0.172,0.143,0.92,-0.05,0.04,0.89,-0.06,0.09,,0.48,,,3.98,-2.34,5.18,5559,-82.16,84.63,4.51,2.4028836,5.7738494,0.78276958,0.10612127,0.003799915,0.1058,0.1058,0.1058,0.1058,269.79175,269.79175,269.79175,1032.5286,1032.5286,1032.5286,,1166.0788,1166.0788,Neptunian,0.89,G,19.274149,19 16 26.9365,+51 44 14.4920,3.0199517,1.3211614,3.1320855,1.6734245,2.9695013,1.7699127,2.9695013,1.6154192,2.9695013,4.6920623,1.3543983,0.4379938,0,0,Hot,0,0.1154802,Cygnus,Cyg,Swan
Kepler-684 b,11.251111,,,3.363,-0.30267,0.30267,2016,2016-05,6.770302,-8.86E-06,8.86E-06,0.064,,,0,,,86.84,,,,,,,,,0.838,-0.589,0.083,Transit,M-R relationship,Kepler-684,290.87049,38.273598,15.695,1731.27,-89.345,89.345,-0.11,-0.194,0.161,0.89,-0.06,0.06,0.86,-0.07,0.08,,0.209,,,4.37,-2.73,5.68,5493,-118.74,123.67,4.53,1.8290866,3.3455579,0.99481353,0.29581134,0.001491307,0.064,0.064,0.064,0.064000002,395.03907,395.03907,395.03907,1135.808,1135.808,1135.808,,1282.7167,1282.7167,Neptunian,0.86,G,19.391367,19 23 28.9221,+38 16 24.9521,1.61808,0.97074486,2.3060578,1.229578,2.186352,1.3005583,2.186352,1.1869677,2.186352,3.434502,1.1959233,0.43998217,0,0,Hot,0,0.19898321,Lyra,Lyr,Lyre
Kepler-685 b,78.821345,,,10.58224,-1.18826,3.06033,2016,2016-05,1.6255222,-1.50E-07,1.50E-07,0.0265,,,0,,,89.22,,,,,,,,,0.076,-0.076,0.022,Transit,M-R relationship,Kepler-685,293.87191,38.422918,15.186,938.715,-30.934,30.934,0.15,-0.154,0.145,1.11,-0.07,0.11,1.16,-0.13,0.34,,-0.051,,,3.39,-1.76,1.6,5963,-126.15,94.44,4.36,2.7291859,7.4484556,0.70386379,0.066513686,0.001097669,0.0265,0.0265,0.0265,0.026500001,1266.2173,1266.2173,1266.2173,1519.7494,1519.7494,1519.7494,,1716.3181,1716.3181,Jovian,1.16,G,19.591462,19 35 29.2631,+38 25 22.5062,0.88920112,0.69977718,1.6410508,0.88635,1.5558655,0.93711372,1.5558655,0.85557611,1.5558655,2.5460315,2.8863994,0.45397553,0,0,Hot,0,0.083128329,Cygnus,Cyg,Swan
Kepler-686 b,,,,12.15164,-1.0089,1.97296,2016,2016-05,1.5947455,-1.10E-07,1.10E-07,0.0258,,,0,,,85.25,,,,,,,,,0.514,-0.037,0.022,Transit,Msini,Kepler-686,285.21382,39.027466,16.02,1490.94,-62.26,67.81,-0.07,-0.184,0.152,0.94,-0.06,0.06,0.92,-0.08,0.15,,0.108,,,4.47,-2.74,4.47,5649,-112.79,155.14,4.49,,,,,,0.0258,0.0258,0.0258,0.025800001,1926.4626,1926.4626,1926.4626,1687.8547,1687.8547,1687.8547,,1906.1666,1906.1666,Jovian,0.92,G,19.014256,19 00 51.3201,+39 01 38.8776,1.2823306,0.85638569,2.024838,1.0847224,1.9197304,1.1471681,1.9197304,1.0471103,1.9197304,3.057481,1.5922467,0.44976471,0,0,Hot,0,0.073472301,Lyra,Lyr,Lyre
Kepler-687 b,12.172813,,,3.51994,-0.20178,0.15694,2016,2016-05,20.50587,-2.83E-05,2.83E-05,0.1326,,,0,,,89.62,,,,,,,,,0.79,-0.13,0.13,Transit,M-R relationship,Kepler-687,289.31546,39.153291,15.695,633.66,-11.267,11.676,-0.04,-0.16,0.144,0.77,-0.04,0.04,0.73,-0.04,0.03,,-0.567,,,5.5,-3.3,5.78,4841,-63.99,93,4.6,1.8596355,3.4582443,0.98247251,0.27911627,0.003328859,0.1326,0.1326,0.1326,0.1326,15.413915,15.413915,15.413915,504.80442,504.80442,504.80442,,570.09727,570.09727,Neptunian,0.73,K,19.287698,19 17 15.7134,+39 09 11.8480,0.27101916,0.41074786,0.99957608,0.52027419,0.94768715,0.55069715,0.94768715,0.50227067,0.94768715,1.4056065,0.37176456,0.43562774,0,0,Hot,0,0.26448129,Lyra,Lyr,Lyre
Kepler-688 b,68.650849,,,9.76391,-0.97527,1.75997,2016,2016-05,3.8959368,-8.00E-07,8.00E-07,0.046,,,0,,,87.56,,,,,,,,,0.541,-0.1243,0.0651,Transit,M-R relationship,Kepler-688,294.65523,39.308345,15.805,1357.75,-56.58,61.62,0.02,-0.167,0.133,0.98,-0.07,0.07,0.96,-0.09,0.17,,-0.024,,,4.27,-2.54,3.92,5715,-199.21,152.52,4.47,2.6516187,7.0310816,0.72010922,0.073752136,0.001896777,0.046,0.046,0.046,0.046000001,447.18202,447.18202,447.18202,1171.5639,1171.5639,1171.5639,,1323.0974,1323.0974,Jovian,0.96,G,19.643683,19 38 37.2592,+39 18 30.0406,0.94623716,0.73277243,1.7293409,0.92814871,1.6395723,0.98152058,1.6395723,0.89595728,1.6395723,2.6264176,1.8083683,0.45258988,0,0,Hot,0,0.090602771,Cygnus,Cyg,Swan
Kepler-689 b,8.7084873,,,2.89218,-0.23541,0.34751,2016,2016-05,22.366561,-9.81E-05,9.81E-05,0.1449,,,0,,,89.26,,,,,,,,,0.815,-0.1,0.1,Transit,M-R relationship,Kepler-689,294.71063,39.521698,15.938,1131.73,-46.47,50.56,-0.01,-0.184,0.144,0.91,-0.06,0.05,0.88,-0.07,0.1,,-0.153,,,4.57,-2.88,5.13,5518,-162.69,122.7,4.51,1.7352366,3.0110461,1.0410991,0.35997038,0.003077188,0.1449,0.1449,0.1449,0.1449,33.485997,33.485997,33.485997,612.85921,612.85921,612.85921,,692.12817,692.12817,Neptunian,0.88,G,19.647377,19 38 50.5560,+39 31 18.1110,0.70307232,0.63897425,1.5167306,0.80934572,1.4379982,0.85604605,1.4379982,0.78129582,1.4379982,2.2639341,1.2576894,0.44657184,0,0,Hot,0,0.25042838,Cygnus,Cyg,Swan
Kepler-690 b,29.653353,,,5.95251,-0.75107,1.82723,2016,2016-05,7.7480944,-7.63E-06,7.63E-06,0.081,,,0,,,88.02,,,,,,,,,0.3857,-0.3856,0.0168,Transit,M-R relationship,Kepler-690,294.48992,39.771476,15.701,1665.31,-102.07,116.04,0.19,-0.152,0.134,1.11,-0.06,0.1,1.16,-0.14,0.36,,0.141,,,3.55,-1.88,1.96,5913,-115.89,87.61,4.35,2.2319622,4.9816552,0.83689993,0.14059614,0.002422073,0.081,0.081,0.081,0.081000002,210.87736,210.87736,210.87736,970.85059,970.85059,970.85059,,1096.4232,1096.4232,Neptunian,1.16,G,19.632663,19 37 57.5851,+39 46 17.3129,1.3835664,0.87555312,2.055712,1.1089924,1.949002,1.1725573,1.949002,1.0704968,1.949002,3.1758777,2.6488083,0.45747836,0,0,Hot,0,0.13726305,Cygnus,Cyg,Swan
Kepler-692 b,9.8526681,,,3.10517,-0.23541,0.36993,2016,2016-05,21.812935,-7.14E-05,7.14E-05,0.1495,,,0,,,89.92,,,,,,,,,0.0574,-0.0574,0.3873,Transit,M-R relationship,Kepler-692,294.77681,40.153703,15.676,991.336,-32.163,34.354,-0.01,-0.172,0.14,0.9,-0.05,0.05,0.86,-0.06,0.1,,-0.233,,,4.68,-2.94,6,5440,-162,157.76,4.53,1.7812884,3.1729883,1.0218404,0.32907713,0.003320449,0.1495,0.1495,0.1495,0.1495,26.164812,26.164812,26.164812,576.20141,576.20141,576.20141,,650.72894,650.72894,Neptunian,0.86,G,19.651788,19 39 06.4373,+40 09 13.3297,0.58479008,0.58534299,1.3928742,0.74141609,1.320571,0.7842575,1.320571,0.71572734,1.320571,2.0647324,1.0959143,0.44669729,0,0,Hot,0,0.25128618,Cygnus,Cyg,Swan
Kepler-693 b,73.736097,,,10.17868,-0.77349,0.50445,2016,2016-05,15.375633,-1.07E-05,1.07E-05,0.1121,,,0,,,88.73,,,,,,,,,0.692,-0.066,0.033,Transit,M-R relationship,Kepler-693,283.25353,40.358216,16.7286,1151.51,-52.06,57.13,-0.1,-0.181,0.167,0.76,-0.05,0.04,0.72,-0.04,0.04,,-0.427,,,4.47,-2.71,6.05,4881,-77.41,78.78,4.61,2.6914997,7.2441708,0.71170041,0.069920698,0.005152441,0.1121,0.1121,0.1121,0.1121,29.770681,29.770681,29.770681,595.10295,595.10295,595.10295,,672.07527,672.07527,Jovian,0.72,K,18.883569,18 53 00.8500,+40 21 29.5758,0.37411059,0.4817303,1.170356,0.61018378,1.1096019,0.64583414,1.1096019,0.58906831,1.1096019,1.6514437,0.39647913,0.41899993,0,0,Hot,0,0.12010905,Lyra,Lyr,Lyre
Kepler-694 b,8.2317453,,,2.8025,-0.2242,0.51566,2016,2016-05,6.3658416,-8.10E-06,8.10E-06,0.0659,,,0,,,87.92,,,,,,,,,0.524,-0.46,0.009,Transit,M-R relationship,Kepler-694,291.14953,40.420457,15.284,1023.06,-28.68,30.36,0,-0.166,0.134,0.97,-0.06,0.05,0.95,-0.07,0.14,,-0.078,,,4.07,-2.37,3.85,5700,-116.69,110.52,4.47,1.7138513,2.9372864,1.0480951,0.37398575,0.001344551,0.0659,0.0659,0.0659,0.065900002,192.41068,192.41068,192.41068,948.86014,948.86014,948.86014,,1071.5884,1071.5884,Neptunian,0.95,G,19.409969,19 24 35.8901,+40 25 13.6448,0.83560302,0.68921878,1.6272327,0.87298288,1.5427644,0.92319526,1.5427644,0.84270661,1.5427644,2.4681058,1.756347,0.4474534,0,0,Hot,0,0.22407147,Lyra,Lyr,Lyre
Kepler-695 b,62.294289,,,9.21462,-0.5605,0.70623,2016,2016-05,3.0403304,-3.00E-07,3.00E-07,0.0374,,,0,,,85.95,,,,,,,,,0.7264,-0.0253,0.0067,Transit,M-R relationship,Kepler-695,299.31609,40.822381,15.262,842.947,-20.501,21.529,-0.01,-0.162,0.149,0.84,-0.05,0.05,0.8,-0.05,0.06,,-0.159,,,4.47,-2.71,6.17,5181,-197.86,199.46,4.57,2.6000721,6.7603752,0.73365751,0.079618856,0.001571737,0.0374,0.0374,0.0374,0.037400001,495.74323,495.74323,495.74323,1202.1512,1202.1512,1202.1512,,1357.6409,1357.6409,Jovian,0.8,K,19.954407,19 57 15.8662,+40 49 20.5734,0.69342581,0.64639425,1.5520248,0.81875074,1.4714595,0.86629506,1.4714595,0.7904035,1.4714595,2.2483492,0.68634786,0.43321404,0,0,Hot,0,0.094819106,Cygnus,Cyg,Swan
Kepler-696 b,31.274275,,,6.14308,-0.69502,1.62545,2016,2016-05,4.1904256,-1.60E-06,1.60E-06,0.0535,,,0,,,87.52,,,,,,,,,0.689,-0.1,0.1,Transit,M-R relationship,Kepler-696,293.49659,41.137563,15.308,1416.44,-55.635,55.635,0.07,-0.167,0.148,1.06,-0.07,0.08,1.08,-0.12,0.29,,0.151,,,3.98,-2.22,2.27,5903,-160.15,106.82,4.39,2.2563192,5.0909764,0.82873353,0.13490522,0.001653609,0.0535,0.0535,0.0535,0.053500001,494.64365,494.64365,494.64365,1201.4841,1201.4841,1201.4841,,1356.8875,1356.8875,Neptunian,1.08,G,19.56644,19 33 59.1854,+41 08 15.2286,1.4157938,0.88623039,2.0812877,1.1225168,1.97325,1.1868671,1.97325,1.0835534,1.97325,3.2126526,2.5639939,0.45917049,0,0,Hot,0,0.1309895,Cygnus,Cyg,Swan
Kepler-697 b,15.954966,,,4.12528,-0.31388,0.54929,2016,2016-05,3.7098707,-3.05E-06,3.05E-06,0.0471,,,0,,,89.86,,,,,,,,,0.1237,-0.1236,0.1903,Transit,M-R relationship,Kepler-697,283.86439,41.346386,15.888,1277.33,-46.03,49.55,-0.01,-0.19,0.137,0.92,-0.06,0.05,0.88,-0.07,0.12,,-0.025,,,4.37,-2.65,5.6,5513,-134.25,113.01,4.52,1.9666235,3.8676079,0.93753828,0.22726658,0.001219482,0.0471,0.0471,0.0471,0.047100001,425.55744,425.55744,425.55744,1157.1361,1157.1361,1157.1361,,1306.8034,1306.8034,Neptunian,0.88,G,18.924294,18 55 27.4580,+41 20 46.9892,0.94406088,0.74064143,1.7583313,0.93812083,1.6670576,0.99225652,1.6670576,0.90560848,1.6670576,2.6233955,1.251483,0.44487126,0,0,Hot,0,0.17462947,Lyra,Lyr,Lyre
