P_NAME,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_LOG_LUM,S_LOG_LUM_ERROR_MIN,S_LOG_LUM_ERROR_MAX,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
DMPP-2 b,138.89084,-18.751852,9.5348401,14.3488,,,2019,2019-12,5.2072,-0.0055,0.0002,0.0664,-0.0005,0.0005,0.078,,,,,,,,,,,,,,,Radial Velocity,Msini,DMPP-2,27.407731,-34.459099,8.57,137.94,-0.675,0.681,,,,1.44,-0.03,0.03,1.78,-0.09,0.09,F5 V,0.104,-0.058,0.052,2,-0.3,0.3,6500,-100,100,4.1,3.1112077,9.6796134,0.67459393,0.047013961,0.002808372,0.066601989,0.0612208,0.0715792,0.066450607,289.06067,247.98552,339.0018,1049.2898,1011.0008,1093.1894,,1141.7665,1234.5856,Jovian,1.78,F,1.8271822,01 49 37.8558,-34 27 32.7546,1.2705741,0.80988216,1.8799107,1.0257959,1.782327,1.0840957,1.782327,0.99009707,1.782327,3.0434332,7.9195702,0.4534374,0,0,Hot,0,0.066557571,Fornax,For,Furnace
DP Leo b,1995.9599,-184.34024,184.34024,12.7794,,,2009,2010-01,10220,-730,730,8.19,-0.39,0.39,0.39,-0.13,0.13,,,,-78,-20,20,2453025,-500,500,,,,Eclipse Timing Variations,Mass,DP Leo,169.31622,17.961572,18.6837,305.684,-27.604,33.554,,,,0.69,,,0.01,,,,-2.4,,,,,,13500,-500,500,,12.497429,156.18572,12.221679,0.9563578,0.71203257,8.8128495,4.9959,11.3841,8.3540939,6.45E-05,3.07E-05,0.000159504,22.140898,18.966865,28.6311,,21.420094,32.334329,Jovian,0.01,B,11.287749,11 17 15.8948,+17 57 41.6581,0.003981072,0.043752635,0.10083026,0.055416178,0.09559647,0.058537933,0.09559647,0.053483358,0.09559647,0.17035849,1035196.7,0.40766256,0,0,Cold,0,0.069806313,Leo,Leo,Lion
DS Tuc A b,,,,5.70589,-0.16815,0.16815,2019,2019-07,8.138268,-1.10E-05,1.10E-05,,,,0,,,89.5,-0.41,0.34,,,,2458332.3,-0.00026,0.00026,0.18,-0.12,0.13,Transit,Mass,DS Tuc A,354.91547,-69.196043,8.17,44.0622,-0.0691,0.0693,0,,,1.01,-0.06,0.06,0.96,-0.03,0.03,G6 V,-0.14,-0.008,0.008,0.045,-0.004,0.004,5428,-80,80,4.6,,,,,,0.079427582,0.079427582,0.079427582,0.079427584,114.83052,114.83052,114.83052,833.98692,833.98692,833.98692,,941.85717,941.85717,Neptunian,0.96,G,23.661032,23 39 39.7166,-69 11 45.7548,0.72443596,0.65193372,1.5519388,0.8257625,1.4713786,0.87348827,1.4713786,0.79715243,1.4713786,2.2980727,1.1156196,0.21405927,0,0,Hot,0,0.14611928,Tucana,Tuc,Toucan
EPIC 206024342 d,7.2782613,,,2.60072,-0.8968,0.8968,2021,2021-08,14.647531,-4.10E-06,4.10E-06,,,,,,,90,-1,2,,,,,,,0.94,,,Transit,M-R relationship,EPIC 206024342,331.27714,-14.121802,13.096,369.888,-4.86,4.99,-0.22,-0.06,0.06,0.93,-0.1,0.08,1.1,-0.36,0.36,,-0.17,-0.011,0.011,,,,5724,-72,72,4.5,1.6728886,2.7985563,1.0760698,0.41375842,0.002270633,0.11433525,0.11433525,0.11433525,0.11433526,51.717756,51.717756,51.717756,683.21097,683.21097,683.21097,,771.57943,771.57943,Neptunian,1.1,G,22.085144,22 05 06.5187,-14 07 18.4868,0.67608298,0.61906452,1.4606279,0.78412312,1.384808,0.82920616,1.384808,0.75692601,1.384808,2.2200552,1.804766,0.45031054,0,0,Hot,0,0.25060254,Aquarius,Aqr,Water Carrier
EPIC 211945201 b,26.999489,-12.598702,14.000324,5.76194,-0.30267,0.30267,2018,2018-07,19.49221,-0.000653,0.000666,0.1493,-0.0015,0.0015,0,,,87.9,-0.06,0.06,90,,,2458113.9,-0.00039,0.00039,0.58,-0.34,0.22,Transit,Mass,EPIC 211945201,136.57419,19.402057,10.154,181.69,-1.277,1.295,0.1,-0.05,0.05,1.17,-0.04,0.04,1.39,-0.02,0.02,G0,0.373,-0.02,0.012,3.99,-0.7,0.85,6069,-90,90,4.22,2.1646785,4.685833,0.81323877,0.14113975,0.004251755,0.1493,0.1493,0.1493,0.1493,105.8962,105.8962,105.8962,817.26896,817.26896,817.26896,,922.97687,922.97687,Neptunian,1.39,G,9.1049467,09 06 17.8081,+19 24 07.4034,2.3604782,1.1327909,2.6501788,1.4348085,2.5126107,1.5168509,2.5126107,1.3849691,2.5126107,4.148239,3.5242434,0.47473247,0,0,Hot,0,0.14593149,Cancer,Cnc,Crab
EPIC 212737443 b,7.2146957,,,2.58951,-0.12331,0.12331,2019,2019-09,13.603,-0.0013,0.0013,0.098,-0.004,0.004,0.2,-0.2,0.2,89.071,-0.161,0.161,,,,,,,0.479,-0.101,0.101,Transit,M-R relationship,EPIC 212737443,204.22151,-7.3180577,14.81,336.25,-4.615,4.743,-0.137,-0.127,0.127,0.69,-0.04,0.04,0.67,-0.02,0.02,K3,-0.751,,,,,,4684,-79,79,4.62,1.6691686,2.7861239,1.0759271,0.41549446,0.001714843,0.09996,0.0784,0.1176,0.098496563,18.854379,12.82878,28.864755,526.84684,482.16008,590.52308,,544.52404,666.90303,Neptunian,0.67,K,13.614768,13 36 53.1641,-07 19 05.0077,0.17741895,0.33452773,0.81962831,0.42373076,0.77707997,0.44859162,0.77707997,0.40906881,0.77707997,1.1372705,0.27368244,0.40766256,0,0,Hot,0,0.29120855,Virgo,Vir,Virgin
EPIC 212737443 c,7.6914377,,,2.6904,-0.14573,0.14573,2019,2019-09,65.55,-0.0089,0.0089,0.28,-0.006,0.006,0.2,-0.2,0.2,89.63,-0.044,0.044,,,,,,,0.567,-0.082,0.082,Transit,M-R relationship,EPIC 212737443,204.22151,-7.3180577,14.81,336.25,-4.615,4.743,-0.137,-0.127,0.127,0.69,-0.04,0.04,0.67,-0.02,0.02,K3,-0.804,-0.014,0.014,,,,4684,-79,79,4.62,1.6908121,2.8588454,1.0626098,0.3949635,0.005005176,0.2856,0.224,0.336,0.28141875,2.0443174,1.3909818,3.129709,302.32106,276.67841,338.86046,,312.46479,382.68964,Neptunian,0.67,K,13.614768,13 36 53.1641,-07 19 05.0077,0.15703628,0.31472563,0.77111109,0.39864837,0.73108136,0.42203761,0.73108136,0.38485432,0.73108136,1.0699507,0.27368244,0.40766256,0,0,Hot,0,0.595347,Virgo,Vir,Virgin
EPIC 246851721 b,953.48401,-381.3936,349.6108,11.78171,-0.49324,0.49324,2018,2018-12,6.180235,-1.40E-05,1.40E-05,0.07229,-0.00075,0.00074,,,,86.21,-0.17,0.17,,,,2457858.9,-0.0001,0.0001,0.647,-0.018,0.017,Transit,Mass,EPIC 246851721,78.91982,16.278699,11.237,372.632,-17.644,19.456,0.141,-0.085,0.082,1.32,-0.04,0.04,1.59,-0.03,0.03,F5 V,0.526,-0.024,0.025,3.02,-0.46,0.44,6202,-50,52,4.16,8.9960641,80.929169,6.8690512,0.58302667,0.006487986,0.07229,0.07229,0.07229,0.072290002,642.45624,642.45624,642.45624,1282.643,1282.643,1282.643,,1448.5437,1448.5437,Jovian,1.59,F,5.2613216,05 15 40.7577,+16 16 43.3168,3.3573761,1.340082,3.1265787,1.6973599,2.9642815,1.7942251,2.9642815,1.6383657,2.9642815,4.947249,4.6106513,0.47179207,0,0,Hot,0,0.07660139,Taurus,Tau,Bull
EPIC 248847494 b,,,,12.4431,-0.7847,0.7847,2018,2018-07,3650,-1130,1280,4.5,-1,1,0,,,89.87,-0.03,0.02,,,,,,,0.79,-0.07,0.04,Transit,Mass,EPIC 248847494,159.38908,11.842748,12.353,551.886,-12.752,12.752,-0.23,-0.04,0.04,0.9,-0.09,0.09,2.7,-0.12,0.12,,0.548,-0.015,0.014,,,,4898,-68,68,3.52,,,,,,4.5,4.5,4.5,4.5000001,0.17441144,0.17441144,0.17441144,164.64125,164.64125,164.64125,,185.93642,185.93642,Jovian,2.7,K,10.625939,10 37 33.3814,+11 50 33.8942,3.5318317,1.4790094,3.5907007,1.873387,3.4043049,1.9828018,3.4043049,1.8085572,3.4043049,5.0741555,0.43189745,0.44541547,0,0,Cold,0,0.2193703,Leo,Leo,Lion
EPIC 249893012 c,14.670941,-1.8910766,1.8402241,3.66567,-0.13452,0.16815,2020,2020-04,15.624,-0.001,0.001,0.13,-0.02,0.01,0.07,-0.05,0.08,87.94,-1.05,0.74,217,-170,100,2457998.3,-3.7,4.4,0.6,-0.21,0.15,Transit,Mass,EPIC 249893012,228.24824,-16.724647,11.429,321.296,-4.085,4.189,0.2,-0.05,0.05,1.05,-0.05,0.05,1.71,-0.04,0.04,G8 IV/V,0.356,-0.008,0.008,9,-0.6,0.5,5430,-85,85,3.99,2.0005633,4.0022535,1.0918205,0.29785017,0.002912736,0.1303185,0.1209,0.1391,0.13007975,134.64181,117.31289,155.2914,867.04185,838.45806,899.35625,,946.90662,1015.6816,Neptunian,1.71,G,15.21655,15 12 59.5793,-16 43 28.7306,2.2698649,1.1538641,2.746613,1.4615254,2.604038,1.5459926,2.604038,1.4108878,2.604038,4.0678392,1.1340469,0.5243988,0,0,Hot,0,0.19465724,Libra,Lib,Scales
EPIC 249893012 d,10.180031,-2.4186711,2.4599887,3.94592,-0.12331,0.13452,2020,2020-04,35.747,-0.005,0.005,0.22,-0.04,0.02,0.15,-0.11,0.21,89.47,-0.5,0.36,181,-61,81,2458008.8,-9,7.9,0.25,-0.17,0.23,Transit,Mass,EPIC 249893012,228.24824,-16.724647,11.429,321.296,-4.085,4.189,0.2,-0.05,0.05,1.05,-0.05,0.05,1.71,-0.04,0.04,G8 IV/V,0.356,-0.008,0.008,9,-0.6,0.5,5430,-85,85,3.99,1.6062029,2.5798878,0.65381148,0.16569304,0.003988535,0.222475,0.187,0.253,0.22062339,47.434711,35.461652,64.910774,665.76221,621.70541,723.14287,,702.11857,816.67623,Neptunian,1.71,G,15.21655,15 12 59.5793,-16 43 28.7306,2.2698649,1.1538641,2.746613,1.4615254,2.604038,1.5459926,2.604038,1.4108878,2.604038,4.0678392,1.1340469,0.5243988,0,0,Hot,0,0.20191156,Libra,Lib,Scales
FU Tau b,5085.248,,,12.2189,,,2008,2009-02,,,,800,,,,,,,,,,,,,,,,,,Imaging,Mass,FU Tau,65.897496,25.050671,,133.49505,-22.964989,22.964989,,,,0.05,,,,,,M7.25,-0.699,,,0.001,,,2838,,,,20.400463,416.17887,34.060257,2.787506,373.52751,800,800,800,800.00002,3.12E-07,3.12E-07,3.12E-07,6.0235139,6.0235139,6.0235139,,6.8026124,6.8026124,Jovian,,M,4.3931666,04 23 35.3999,+25 03 02.4160,0.19998619,0.36834227,0.98611165,0.46654716,0.93488441,0.49493655,0.93488441,0.45027121,0.93488441,1.207435,0.004785788,0.041675563,0,0,Cold,0,0.072559195,Taurus,Tau,Bull
GJ 1148 b,96.69917,-1.0202279,1.4111563,11.9947,,,2010,2010-05,41.38,-0.001,0.002,0.166,-0.001,0.001,0.38,-0.012,0.01,,,,258.1,-1.8,2,,,,,,,Radial Velocity,Msini,GJ 1148,175.43261,42.751586,11.939,11.0143,-0.0065,0.0064,0.16,-0.066,0.066,0.34,-0.02,0.02,0.36,-0.01,0.01,M5,-1.869,-0.126,0.097,,,,3287,-157,157,4.87,2.8393353,8.0618248,0.67211558,0.05603438,0.00677017,0.1779852,0.10292,0.22908,0.16914879,0.53045486,0.25764733,1.2764401,211.23237,181.51032,270.79773,,204.98738,305.82348,Jovian,0.36,M,11.695508,11 41 43.8281,+42 45 05.7103,0.013520726,0.095333538,0.24997687,0.12075292,0.2369947,0.12804783,0.2369947,0.11655306,0.2369947,0.31395237,0.019609359,0.32199127,1,1,Warm,0,0.36360508,Ursa Major,UMa,Big Bear
GJ 1148 c,68.059689,-2.1898349,4.9104426,9.70786,,,2017,2018-02,532.58,-2.52,4.14,0.912,-0.002,0.005,0.342,-0.062,0.05,,,,210.4,-9.1,12,,,,,,,Radial Velocity,Msini,GJ 1148,175.43261,42.751586,11.939,11.0143,-0.0065,0.0064,0.16,-0.066,0.066,0.34,-0.02,0.02,0.36,-0.01,0.01,M5,-1.869,-0.126,0.097,,,,3287,-157,157,4.87,2.6477881,7.0107818,0.72217582,0.074390836,0.035113675,0.96533558,0.600096,1.223904,0.92587581,0.017299005,0.009026207,0.037545556,90.285612,78.527403,112.1462,,88.684361,126.6515,Jovian,0.36,M,11.695508,11 41 43.8281,+42 45 05.7103,0.013520726,0.095333538,0.24997687,0.12075292,0.2369947,0.12804783,0.2369947,0.11655306,0.2369947,0.31395237,0.019609359,0.32199127,0,0,Cold,0,0.1071209,Ursa Major,UMa,Big Bear
GJ 1214 b,8.171358,-0.4290678,0.4290678,2.74645,-0.05605,0.04484,2009,2009-12,1.5804043,-1.30E-07,1.30E-07,0.0149,-0.00026,0.00026,0.063,,,88.7,-0.1,0.1,0,,,,,,0.325,-0.025,0.025,Transit,Mass,GJ 1214,258.8314,4.9606795,15.1,14.6427,-0.0372,0.0372,0.29,-0.12,0.12,0.18,-0.01,0.01,0.21,-0.01,0.01,M4 V,-2.337,-0.061,0.062,3,,,3250,-100,100,5.03,1.7248895,2.9752437,1.0833052,0.39443836,0.000498178,0.014929569,0.0139613,0.0158387,0.014907404,20.772608,18.346826,23.612843,543.49294,527.27253,561.60631,,595.47146,634.24608,Neptunian,0.21,M,17.255428,17 15 19.5390,+04 57 38.4462,0.004602566,0.055643041,0.14616273,0.070479405,0.13857183,0.074740002,0.13857183,0.068027501,0.13857183,0.18317398,0.01488635,0.24256932,0,0,Hot,0,0.27818727,Ophiuchus,Oph,Serpent Holder
GJ 143 b,22.699276,-1.9006115,2.1993698,2.61193,-0.15694,0.16815,2019,2019-02,35.61253,-0.00062,0.0006,0.1915,-0.0063,0.0058,0.188,-0.078,0.076,89.33,-0.11,0.15,98,-17,21,2458350.8,-1.1,1.6,0.587,-0.15,0.097,Transit,Mass,GJ 143,51.750188,-63.500166,8.08,16.32,-0.0071,0.0071,0.003,-0.06,0.06,0.73,-0.07,0.07,0.7,-0.03,0.03,K4.5,-0.686,0,0,3.8,-3.7,3.7,4640,-100,100,4.61,2.9479848,8.6906142,3.3272768,1.2738767,0.004891098,0.19488419,0.155498,0.227502,0.19235605,5.7210561,3.9813427,8.5221738,391.37402,359.87552,435.29382,,406.42284,491.59597,Neptunian,0.7,K,3.4500127,03 27 00.0458,-63 30 00.5976,0.20606299,0.36114589,0.88657935,0.45744698,0.84055522,0.48431157,0.84055522,0.44161823,0.84055522,1.2256424,0.25856853,0.40237383,0,0,Hot,0,0.41154015,Reticulum,Ret,Net
GJ 15 A c,36.000378,-17.9986,25.000351,6.66995,,,2018,2018-09,7600,-1700,2200,5.4,-0.9,1,0.27,-0.19,0.28,,,,-58.4,-53.3,100.8,,,,,,,Radial Velocity,Msini,GJ 15 A,4.6126677,44.02473,8.09,3.56228,-0.00055,0.00055,-0.34,-0.09,0.09,0.38,-0.05,0.05,0.38,-0.05,0.05,M1,-1.655,-0.112,0.112,,,,3607,-68,68,4.87,2.3232302,5.3973984,0.80921123,0.12132193,0.17975307,5.59683,3.942,6.858,5.4504271,0.000788223,0.000470549,0.001424186,42.09007,37.52288,49.492182,,42.376197,55.893642,Neptunian,0.38,M,0.3075112,00 18 27.0403,+44 01 29.0266,0.022130947,0.1215034,0.31363342,0.15390197,0.29734783,0.16314313,0.29734783,0.14855952,0.29734783,0.4016648,0.035263281,0.33415322,0,0,Cold,0,0.12155509,Andromeda,And,Andromeda
GJ 160.2 b,10.199101,-5.8988877,7.1988043,3.17243,,,2014,2014-06,5.2354,-0.0065,0.0027,0.053,-0.007,0.004,0.06,-0.06,0.2,,,,360,,,,,,,,,Radial Velocity,Msini,GJ 160.2,61.645417,-20.856472,9.7,25.8557,-0.0391,0.0393,,,,0.69,,,0.66,-0.05,0.03,M0 V,-0.796,,,,,,4347,,,4.61,1.7930191,3.2149175,1.0133927,0.31943737,0.001223,0.0530954,0.04982,0.05618,0.053023885,57.046815,50.679991,64.445493,699.6956,679.75755,721.8435,,767.67934,815.2088,Neptunian,0.66,M,4.1096947,04 06 34.9009,-20 51 23.3006,0.1599558,0.3214443,0.79990672,0.40715954,0.75838009,0.43122477,0.75838009,0.39306615,0.75838009,1.0798508,0.15339287,0.40766256,0,0,Hot,0,0.22431734,Eridanus,Eri,River
GJ 163 b,10.599564,-0.60069493,0.60069493,3.2509,,,2013,2013-08,8.63182,-0.00155,0.00155,0.0607,-1.00E-05,1.00E-05,0.073,-0.05,0.05,,,,70.7,-54.6,54.6,2455042.6,-0.01,0.01,,,,Radial Velocity,Msini,GJ 163,62.322835,-53.371177,11.79,15.1285,-0.0072,0.0072,0.1,-0.1,0.1,0.4,-0.02,0.02,0.41,-0.01,0.01,M,-1.708,-0.023,0.022,6,-4,4,3500,-100,100,4.82,1.8056858,3.2605014,1.0029534,0.30851562,0.001678017,0.060861735,0.0562689,0.0651311,0.060740508,5.3306834,4.617673,6.1867583,386.72808,373.46568,401.80071,,421.7708,453.77076,Neptunian,0.41,M,4.1548559,04 09 17.4813,-53 22 16.2365,0.019588447,0.11447253,0.29705697,0.14499596,0.2816314,0.1537207,0.2816314,0.13995958,0.2816314,0.37788858,0.029847885,0.35530668,0,0,Hot,0,0.3883034,Dorado,Dor,Goldfish
GJ 163 d,29.39909,-2.8985914,2.8985914,5.91888,,,2013,2013-08,603.95116,-7.55862,7.55862,1.0304,-0.0086,0.0086,0.373,-0.077,0.077,,,,118.3,-20.5,20.5,2455275,-24,24,,,,Radial Velocity,Msini,GJ 163,62.322835,-53.371177,11.79,15.1285,-0.0072,0.0072,0.1,-0.1,0.1,0.4,-0.02,0.02,0.41,-0.01,0.01,M,-1.708,-0.023,0.022,6,-4,4,3500,-100,100,4.82,2.2286772,4.9670022,0.83917941,0.1417801,0.027069686,1.1020793,0.6460608,1.4147392,1.0491962,0.01988471,0.009786947,0.046930288,93.050038,80.132135,118.57912,,90.496655,133.91648,Neptunian,0.41,M,4.1548559,04 09 17.4813,-53 22 16.2365,0.019588447,0.11447253,0.29705697,0.14499596,0.2816314,0.1537207,0.2816314,0.13995958,0.2816314,0.37788858,0.029847885,0.35530668,0,0,Cold,0,0.15473015,Dorado,Dor,Goldfish
GJ 179 b,260.61896,-22.24796,22.24796,13.9004,,,2009,2010-10,2288,-59,59,2.41,-0.04,0.04,0.21,-0.08,0.08,,,,153,-24,24,2455140,-104,104,,,,Radial Velocity,Msini,GJ 179,73.02455,6.4752347,11.963,12.356,-0.0093,0.0093,0.3,-0.1,0.1,0.36,-0.03,0.03,0.38,-0.02,0.02,M3.5 V,-1.796,-0.058,0.051,,,,3370,-100,100,4.83,4.3300146,18.749026,1.348812,0.09703404,0.17100042,2.4631405,1.9039,2.9161,2.4234818,0.002816824,0.001881028,0.004412775,58.200275,53.057124,65.663321,,59.919684,74.156402,Jovian,0.38,M,4.8683036,04 52 05.8928,+06 28 30.8449,0.01599558,0.10360026,0.27056343,0.13122419,0.25651274,0.13913971,0.25651274,0.12666255,0.25651274,0.34147882,0.023049724,0.32818492,0,0,Cold,0,0.06770098,Orion,Ori,Hunter
GJ 2030 c,4067.8425,-677.88899,748.29743,12.331,,,2022,2022-09,25533.114,-2322.5717,2549.0119,16.763449,-1.330307,1.295117,0.040554,-0.00766,0.002825,16.999,-2.535,2.935,205.1259,-63.4308,64.447,2441013.5,-5461.9565,4547.2656,,,,Radial Velocity,Mass,GJ 2030,50.82376,-7.7950429,6.20902,37.0788,-0.0644,0.0647,-0.4,-0.1,0.1,0.96,-0.12,0.12,2.24,-0.09,0.1,,0.612,-0.007,0.011,,,,5485,-94.4,103.9,3.72,18.162805,329.88748,26.752694,2.1695478,2.6033552,16.777234,16.083624,17.443274,16.766898,0.014575742,0.013450673,0.015820936,88.494963,86.762271,90.355159,,97.984351,102.04195,Jovian,2.24,G,3.3882509,03 23 17.7031,-07 47 42.1544,4.0926066,1.5445546,3.6701021,1.9563851,3.4795896,2.0693384,3.4795896,1.8885895,3.4795896,5.4621519,1.2097477,0.45510143,0,0,Cold,0,0.087362199,Eridanus,Eri,River
GJ 2056 b,16.199693,-3.6009913,3.6009913,4.17012,,,2020,2020-10,69.971,-0.061,0.061,0.283,-0.013,0.013,0.72,-0.1,0.1,,,,58,-116,116,2452965.6,-3.5,3.5,,,,Radial Velocity,Msini,GJ 2056,108.01949,-24.892101,10.37,28.4434,-0.0233,0.0234,,,,0.62,-0.08,0.08,0.71,-0.02,0.02,M0V:,-0.905,-0.001,0.001,,,,4069.95,-44.5,70.29,4.48,1.9709659,3.8847067,0.93155754,0.22338866,0.002351986,0.3563536,0.07924,0.48676,0.30556006,2.2391536,0.52525505,19.820338,273.74527,216.88897,537.55472,,244.94201,607.08358,Neptunian,0.71,M,7.2013,07 12 04.6800,-24 53 31.5629,0.12445146,0.28567683,0.720564,0.36185422,0.6831541,0.38337194,0.6831541,0.34931958,0.6831541,0.95249734,0.091961785,0.39338249,1,0,Warm,0,0.48896404,Canis Major,CMa,Big Dog
GJ 229 b,14.848924,-1.29356,1.1854985,3.95713,,,2014,2014-06,579.47495,-1.4141356,1.6794195,1.086215,-0.014723,0.014571,0.403522,-0.124334,0.104547,,,,246.8711,-7.9558,9.0406,2449954.3,-15.583134,17.737975,,,,Radial Velocity,Msini,GJ 229,92.643599,-21.867723,8.15,5.75624,-0.001525,0.001525,,,,0.51,-0.02,0.02,0.46,-0.02,0.01,M1/M2 V,-1.553,,,0.4,,,3564,,,4.69,1.9371236,3.7524479,0.94827512,0.23963709,0.019937484,1.1746492,0.64790335,1.5245266,1.1096047,0.025927556,0.012042869,0.066677537,98.926075,84.397076,129.46125,,95.313235,146.20614,Neptunian,0.46,M,6.1762403,06 10 34.4650,-21 52 03.8039,0.027989813,0.13672358,0.35367602,0.1731804,0.33531087,0.18358803,0.33531087,0.16716728,0.33531087,0.45171423,0.036127272,0.24533427,0,0,Cold,0,0.20711718,Lepus,Lep,Hare
GJ 27.1 b,12.999165,-6.6012876,4.0999812,3.66567,,,2014,2014-06,15.819,-0.026,0.023,0.101,-0.013,0.009,0.08,-0.08,0.18,,,,150,,,,,,,,,Radial Velocity,Msini,GJ 27.1,9.9980016,-44.254168,11.45,23.6062,-0.02565,0.02565,,,,0.53,,,0.52,-0.02,0.02,M0.5 V,-1.585,,,,,,3542,,,4.72,1.8831332,3.5461908,0.9674059,0.26390971,0.00270048,0.1013232,0.09292,0.10908,0.10108098,2.5571221,2.1852933,3.0114912,321.78085,309.75787,335.61419,,349.82284,379.02348,Neptunian,0.52,M,0.66653347,00 39 59.5205,-44 15 15.0044,0.026001596,0.13181633,0.34135425,0.16696457,0.32362875,0.17700299,0.32362875,0.16116654,0.32362875,0.43537529,0.035236206,0.37334449,0,0,Hot,0,0.49105548,Phoenix,Phe,Phoenix
GJ 3021 b,1071.0804,-28.60452,28.60452,13.1157,,,2000,2001-08,133.71,-0.2,0.2,0.49,,,0.511,-0.017,0.017,,,,290.7,-3,3,2451545.9,-0.64,0.64,,,,Radial Velocity,Msini,GJ 3021,4.0634323,-79.851422,6.59,17.5559,-0.0073,0.0073,0.1,-0.08,0.08,0.9,,,0.9,,,G6 V,-0.18,,,0.37,,,5540,-75,75,4.7,9.0368129,81.663988,6.22643,0.47473104,0.025399003,0.55397465,0.23961,0.74039,0.50756238,3.2012617,1.2052549,11.507742,322.40384,266.9406,469.23721,,301.46746,529.92969,Jovian,0.9,G,0.2708955,00 16 15.2238,-79 51 05.1185,0.66069345,0.61863317,1.467449,0.78358059,1.3912748,0.82877643,1.3912748,0.7564215,1.3912748,2.1946424,1.3013328,0.29264377,0,0,Hot,0,0.28893433,Hydrus,Hyi,Little Water Snake
GJ 3138 d,10.501037,-2.1008431,2.3010747,3.22848,,,2017,2017-06,257.8,-3.5,3.6,0.698,-0.019,0.018,0.32,-0.21,0.2,,,,,,,,,,,,,Radial Velocity,Msini,GJ 3138,32.297739,-16.33925,10.8275,28.4712,-0.03505,0.03505,-0.3,-0.12,0.12,0.68,,,0.5,-0.03,0.03,M0,-1.347,-0.073,0.063,,,,3717,-49,49,4.63,1.8035037,3.2526257,1.007479,0.31205985,0.011822898,0.7337376,0.47464,0.92136,0.70725002,0.097442346,0.052983579,0.19965093,139.51099,122.23068,170.29925,,138.04035,192.32624,Neptunian,0.5,M,2.1531827,02 09 11.4576,-16 20 21.2982,0.044977985,0.17293225,0.44394143,0.21904468,0.42089053,0.2321681,0.42089053,0.21144538,0.42089053,0.57261639,0.051717493,0.40568358,0,0,Cold,0,0.30930469,Cetus,Cet,Whale
